date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:46	543/543	---M--	200	added ('OK')	image/png	etag:%22d273b3b7f3722c95817e975aaf3be335-1498089600-b93400b%22	https://66.media.tumblr.com/6be66a88d11e29d60d7cc0eb3e884a48/32a43f64ec2399f5-f4/s2048x3072/7c8df115be3656d97e9bf1b3761b61a2d24f5045.png	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/66.media.tumblr.com/6be66a88d11e29d60d7cc0eb3e884a48/32a43f64ec2399f5-f4/s2048x3072/tumblr_6be66a88d11e29d60d7cc0eb3e884a48_7c8df115_2048.png	(from https://oliverrice.net/)
09:16:47	62568/62568	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:45%20GMT	https://oliverrice.net/photo	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/photo.html	(from https://oliverrice.net/)
09:16:50	66311/66311	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:48%20GMT	https://oliverrice.net/drawing	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/drawing.html	(from https://oliverrice.net/)
09:16:50	63202/63202	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:49%20GMT	https://oliverrice.net/magazine	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/magazine.html	(from https://oliverrice.net/)
09:16:51	62578/62578	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:50%20GMT	https://oliverrice.net/gd	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/gd.html	(from https://oliverrice.net/)
09:16:52	62525/62525	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:51%20GMT	https://oliverrice.net/type	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/type.html	(from https://oliverrice.net/)
09:16:53	61324/61324	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:51%20GMT	https://oliverrice.net/mixedmedia	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/mixedmedia.html	(from https://oliverrice.net/)
09:16:53	57966/57966	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:52%20GMT	https://oliverrice.net/contact	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/contact.html	(from https://oliverrice.net/)
09:16:55	64325/64325	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:53%20GMT	https://oliverrice.net/post/642152110737276928	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/642152110737276928.html	(from https://oliverrice.net/)
09:16:57	64365/64365	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:55%20GMT	https://oliverrice.net/post/642152083440697344	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/642152083440697344.html	(from https://oliverrice.net/)
09:16:57	354535/354535	---M--	200	added ('OK')	image/jpeg	etag:%22bae09e2024d5e180616a4819f8f02cf9-1498089600-b93400b%22	https://64.media.tumblr.com/9a26a13e45a8de56cf0c08554707b8c6/a3cf3b5c0692e255-27/s1280x1920/c22669d9d39b7cffe4f9092fccd24159cceb320b.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/9a26a13e45a8de56cf0c08554707b8c6/a3cf3b5c0692e255-27/s1280x1920/tumblr_9a26a13e45a8de56cf0c08554707b8c6_c22669d9_1280.jpg	(from https://oliverrice.net/)
09:16:57	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:16:56%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/642152110737276928&media=https://64.media.tumblr.com/9a26a13e45a8de56cf0c08554707b8c6/a3cf3b5c0692e255-27/s500x750/19c9be9c5a46f020ea6890bc8569466f1f21d0e2.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/indexafc9.html	(from https://oliverrice.net/)
09:16:59	64363/64363	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:57%20GMT	https://oliverrice.net/post/642152011161370624	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/642152011161370624.html	(from https://oliverrice.net/)
09:16:59	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:16:57%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/642152083440697344&media=https://64.media.tumblr.com/057e166852eb07268274a32396b5ae5b/1cf3ce4f7d5eb4ab-fc/s500x750/fd1aec61aa7892b30a7c09e4e428edc958db5d4e.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/index34ca.html	(from https://oliverrice.net/)
09:16:59	328760/328760	---M--	200	added ('OK')	image/jpeg	etag:%2225bd01cd1b78f7597f9ea8ac4f15c050-1498089600-b93400b%22	https://64.media.tumblr.com/057e166852eb07268274a32396b5ae5b/1cf3ce4f7d5eb4ab-fc/s1280x1920/165a8cab27463132d4b87fa3ad769159eb1e38ee.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/057e166852eb07268274a32396b5ae5b/1cf3ce4f7d5eb4ab-fc/s1280x1920/tumblr_057e166852eb07268274a32396b5ae5b_165a8cab_1280.jpg	(from https://oliverrice.net/)
09:16:59	431608/431608	---M--	200	added ('OK')	image/jpeg	etag:%22981c56f3e583e58b60f2f3d074048900-1498089600-b93400b%22	https://64.media.tumblr.com/ab20d383b093d681a4ac7e36ed95037d/219355e4d1308a74-05/s1280x1920/0b6db5d5950ee502ecbedf63ebdd3d02a0e1b3e1.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/ab20d383b093d681a4ac7e36ed95037d/219355e4d1308a74-05/s1280x1920/tumblr_ab20d383b093d681a4ac7e36ed95037d_0b6db5d5_1280.jpg	(from https://oliverrice.net/)
09:17:00	64363/64363	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:58%20GMT	https://oliverrice.net/post/642151859543523328	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/642151859543523328.html	(from https://oliverrice.net/)
09:17:01	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:16:59%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/642152011161370624&media=https://64.media.tumblr.com/ab20d383b093d681a4ac7e36ed95037d/219355e4d1308a74-05/s500x750/e804fb4db4fe43a6bb7bfe448bc147a6ee1c54b2.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/index2dc4.html	(from https://oliverrice.net/)
09:17:01	458774/458774	---M--	200	added ('OK')	image/jpeg	etag:%22cde6997b5f98e7db4ba871420a935093-1498089600-b93400b%22	https://64.media.tumblr.com/04ba123d93d28d6241fa3e3d8978b898/2577b9d13efc0d72-59/s1280x1920/5d34ec3eae02df89e05f5fc777c4a1bb357e6cd7.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/04ba123d93d28d6241fa3e3d8978b898/2577b9d13efc0d72-59/s1280x1920/tumblr_04ba123d93d28d6241fa3e3d8978b898_5d34ec3e_1280.jpg	(from https://oliverrice.net/)
09:17:01	64593/64593	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:59%20GMT	https://oliverrice.net/post/622936205682753536	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/622936205682753536.html	(from https://oliverrice.net/)
09:17:02	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:01%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/642151859543523328&media=https://64.media.tumblr.com/04ba123d93d28d6241fa3e3d8978b898/2577b9d13efc0d72-59/s500x750/6bb1ff2f3de73fd883596a0cec2b10a946b166dc.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/indexa26a.html	(from https://oliverrice.net/)
09:17:03	89207/89207	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:01%20GMT	https://oliverrice.net/tagged/sculpture	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/tagged/sculpture.html	(from https://oliverrice.net/)
09:17:03	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:01%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/622936205682753536&media=https://64.media.tumblr.com/43e4d8bb63d2292693d531d26b58ca12/5669c93f947b273e-01/s500x750/8c21a21c3686d24c1b20a1fbac08de2e15b1a19b.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/index08e7.html	(from https://oliverrice.net/)
09:17:03	840940/840940	---M--	200	added ('OK')	image/jpeg	etag:%2267077e8d1582568bbab210c720773416-1498089600-b93400b%22	https://64.media.tumblr.com/43e4d8bb63d2292693d531d26b58ca12/5669c93f947b273e-01/s1280x1920/e1a60d2768c7a0ab5fab0afd68d8ff937843eca6.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/43e4d8bb63d2292693d531d26b58ca12/5669c93f947b273e-01/s1280x1920/tumblr_43e4d8bb63d2292693d531d26b58ca12_e1a60d27_1280.jpg	(from https://oliverrice.net/)
09:17:06	130916/130916	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:04%20GMT	https://oliverrice.net/tagged/mixed-media	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/tagged/mixed-media.html	(from https://oliverrice.net/)
09:17:06	64629/64629	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:05%20GMT	https://oliverrice.net/post/622936151259480064	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/622936151259480064.html	(from https://oliverrice.net/)
09:17:09	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:07%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/622936151259480064&media=https://64.media.tumblr.com/b141a7cc48750a73303019b1f6eb14d5/12826f74748fca5d-04/s500x750/5eba3297851e6f0d2922cae148f4966a323bef04.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/indexba2d.html	(from https://oliverrice.net/)
09:17:09	64593/64593	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:06%20GMT	https://oliverrice.net/post/622936100264181760	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/622936100264181760.html	(from https://oliverrice.net/)
09:17:10	483516/483516	---M--	200	added ('OK')	image/jpeg	etag:%224f0c67cd9809d8a309e05ba4a8906164-1498089600-b93400b%22	https://64.media.tumblr.com/b141a7cc48750a73303019b1f6eb14d5/12826f74748fca5d-04/s1280x1920/e1ce2f6232a7ddc97cc1774baa9be1f010818754.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/b141a7cc48750a73303019b1f6eb14d5/12826f74748fca5d-04/s1280x1920/tumblr_b141a7cc48750a73303019b1f6eb14d5_e1ce2f62_1280.jpg	(from https://oliverrice.net/)
09:17:10	475597/475597	---M--	200	added ('OK')	image/jpeg	etag:%2217b8a6f1434eb6a5454e8fa00617f260-1498089600-b93400b%22	https://64.media.tumblr.com/2da180879d241e5a3cc96711e6b6bf30/80f7bd6dd18c4a27-14/s1280x1920/65adddbe51d3b3a02686839782945fdfc7090c56.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/2da180879d241e5a3cc96711e6b6bf30/80f7bd6dd18c4a27-14/s1280x1920/tumblr_2da180879d241e5a3cc96711e6b6bf30_65adddbe_1280.jpg	(from https://oliverrice.net/)
09:17:11	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:09%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/622936100264181760&media=https://64.media.tumblr.com/2da180879d241e5a3cc96711e6b6bf30/80f7bd6dd18c4a27-14/s500x750/778e1b5cad40be4141d8b0da1c8d239021014feb.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/index1ff6.html	(from https://oliverrice.net/)
09:17:12	64595/64595	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:10%20GMT	https://oliverrice.net/post/622936018002329600	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/622936018002329600.html	(from https://oliverrice.net/)
09:17:13	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:11%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/622936018002329600&media=https://64.media.tumblr.com/df7fc07752f712c432f230a7df326f08/6e99c8c696a31aa2-ff/s500x750/c8b1585d948d694eace25374eb7fccd979714b0b.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/indexdb62.html	(from https://oliverrice.net/)
09:17:13	64467/64467	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:11%20GMT	https://oliverrice.net/post/622935889765629953	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/622935889765629953.html	(from https://oliverrice.net/)
09:17:14	521825/521825	---M--	200	added ('OK')	image/jpeg	etag:%2285d51bd7826c3d714e617ce5988b25d7-1498089600-b93400b%22	https://64.media.tumblr.com/df7fc07752f712c432f230a7df326f08/6e99c8c696a31aa2-ff/s1280x1920/53ea0f0adfefcc18ebfcc184fed394819581d7fa.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/df7fc07752f712c432f230a7df326f08/6e99c8c696a31aa2-ff/s1280x1920/tumblr_df7fc07752f712c432f230a7df326f08_53ea0f0a_1280.jpg	(from https://oliverrice.net/)
09:17:15	318593/318593	---M--	200	added ('OK')	image/jpeg	etag:%2228536bbe0886735912ea25fc8ff222be-1498089600-b93400b%22	https://64.media.tumblr.com/ac61c19d467e984fb215cbcb5583ded2/4015760b92effd78-4f/s1280x1920/af42fa321d7abeb5e4f8ae3f4d5b8258a00c11fb.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/64.media.tumblr.com/ac61c19d467e984fb215cbcb5583ded2/4015760b92effd78-4f/s1280x1920/tumblr_ac61c19d467e984fb215cbcb5583ded2_af42fa32_1280.jpg	(from https://oliverrice.net/)
09:17:15	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:13%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/622935889765629953&media=https://64.media.tumblr.com/ac61c19d467e984fb215cbcb5583ded2/4015760b92effd78-4f/s500x750/2738d8cddc9941d7d6caa030ca0495c847100523.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/indexcdb8.html	(from https://oliverrice.net/)
09:17:16	129740/129740	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:14%20GMT	https://oliverrice.net/tagged/drawing	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/tagged/drawing.html	(from https://oliverrice.net/)
09:17:16	64465/64465	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:17:14%20GMT	https://oliverrice.net/post/622935842558787584	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/post/622935842558787584.html	(from https://oliverrice.net/)
09:17:19	667/667	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Mar%202021%2022:17:17%20GMT	https://pinterest.com/pin/create/button/?url=https://oliverrice.net/post/622935842558787584&media=https://64.media.tumblr.com/4958b004945f3f05e051631d92a62b7a/d8111aa0ef39d909-20/s500x750/b635bf9aeef9720b4b5bf0a38b9bdf1d002e4838.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/pinterest.com/pin/create/button/index16b3.html	(from https://oliverrice.net/)
09:17:20	97244/97244	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.2/jquery.min.js	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/ajax.googleapis.com/ajax/libs/jquery/1.12.2/jquery.min.js	(from https://oliverrice.net/)
09:17:24	28515/28515	---M--	200	added ('OK')	text/javascript	etag:%2268864fd02f55c05db37f32b24d2cb7af%22	https://static.tumblr.com/jzzkxgh/ftwov1qtl/matcha-green.js	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/ftwov1qtl/matcha-green.js	(from https://oliverrice.net/)
09:17:24	585669/585669	---M--	200	added ('OK')	text/javascript	etag:%2280fe9b5b8d15ea1f7fe323cd033eb815%22	https://static.tumblr.com/jzzkxgh/nP1qitt8c/plugins.js	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/nP1qitt8c/plugins.js	(from https://oliverrice.net/)
09:17:25	12392/12392	---M--	200	added ('OK')	image/png	etag:%224924c44bc643bf4c55c776baa63b811b%22	https://static.tumblr.com/jzzkxgh/o2Yoomruj/default_mobile_theme.png	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/o2Yoomruj/default_mobile_theme.png	(from https://oliverrice.net/)
09:17:25	15669/15669	---M--	200	added ('OK')	image/jpeg	etag:%225596cad2e23c0668815dbd938af98a8f%22	https://static.tumblr.com/jzzkxgh/Uqsqi8zlv/insta-feed.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/Uqsqi8zlv/insta-feed.jpg	(from https://oliverrice.net/)
09:17:25	37167/37167	---M--	200	added ('OK')	image/jpeg	etag:%2208c0b05019603a904659c958863b2128%22	https://static.tumblr.com/jzzkxgh/Pnhqi7ltv/header-avatar-img.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/Pnhqi7ltv/header-avatar-img.jpg	(from https://oliverrice.net/)
09:17:26	5732/5732	---MCZ	200	added ('OK')	text/html	etag:W/%2260543443-1664%22	https://oliverrice.net/analytics.html	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/analytics.html	(from https://oliverrice.net/)
09:17:28	714920/714920	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a87b7-ae8a8%22	https://assets.tumblr.com/client/prod/standalone/tumblelog/index.build.js?_v=f3fb5dbb23253ba13bb13591156de3e0	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/client/prod/standalone/tumblelog/index.build3210.js	(from https://oliverrice.net/)
09:17:29	29008/29008	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226056d4fe-7150%22	https://assets.tumblr.com/fonts/gibson/Gibson-Regular-webfont.eot?3	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/Gibson-Regular-webfonteccb.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
09:17:30	29008/29008	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f0e93dc-7150%22	https://assets.tumblr.com/fonts/gibson/Gibson-Regular-webfont.eot?3?	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/Gibson-Regular-webfont95c6.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
09:17:30	30896/30896	---M--	200	added ('OK')	application/font-woff	etag:%225eb39715-78b0%22	https://assets.tumblr.com/fonts/gibson/Gibson-Regular-webfont.woff?3	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/Gibson-Regular-webfonteccb.woff	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
09:17:30	78408/78408	---MCZ	200	added ('OK')	font/ttf	etag:W/%225f376ba3-13248%22	https://assets.tumblr.com/fonts/gibson/Gibson-Regular-webfont.ttf?3	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/Gibson-Regular-webfonteccb.ttf	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
09:17:30	60851/60851	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f55bfa0-edb3%22	https://assets.tumblr.com/fonts/gibson/Gibson-Regular-webfont.svg?3	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/Gibson-Regular-webfonteccb.svg	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
09:17:31	29488/29488	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226056d4fe-7330%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont.eot?3	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfonteccb.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
